"BehaviorSpace results (NetLogo 6.1.1)"
"coc00031.nlogo"
"Allv3"
"03/02/2020 05:00:27:711 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-8","8"
"[run number]","number-of-lanes","max-patience","acceleration","number-of-cars","deceleration","[step]","[speed] of selected-car"
"420","1","1","0.01","31","0.1","999","0"
"421","1","1","0.01","41","0.02","999","0"
"422","1","1","0.01","41","0.04","999","0"
"423","1","1","0.01","41","0.06","999","0"
"424","1","1","0.01","41","0.08","999","0"
"425","1","1","0.01","41","0.1","999","0"
"427","1","1","0.01","51","0.04","999","0"
"426","1","1","0.01","51","0.02","999","0"
"428","1","1","0.01","51","0.06","999","0"
"429","1","1","0.01","51","0.08","999","0"
"431","1","1","0.01","61","0.02","999","0"
"430","1","1","0.01","51","0.1","999","0"
"432","1","1","0.01","61","0.04","999","0"
"433","1","1","0.01","61","0.06","999","0"
"434","1","1","0.01","61","0.08","999","0"
"436","1","1","0.01","71","0.02","999","0"
"435","1","1","0.01","61","0.1","999","0"
"437","1","1","0.01","71","0.04","999","0"
"438","1","1","0.01","71","0.06","999","0"
"439","1","1","0.01","71","0.08","999","0"
"440","1","1","0.01","71","0.1","999","0"
"441","1","1","0.01","81","0.02","999","0"
"442","1","1","0.01","81","0.04","999","0"
"443","1","1","0.01","81","0.06","999","0"
"445","1","1","0.01","81","0.1","999","0"
"446","1","1","0.01","91","0.02","999","0"
"444","1","1","0.01","81","0.08","999","0"
"447","1","1","0.01","91","0.04","999","0"
"448","1","1","0.01","91","0.06","999","0"
"449","1","1","0.01","91","0.08","999","0"
"450","1","1","0.01","91","0.1","999","0"
"451","1","1","0.01","101","0.02","999","0"
"452","1","1","0.01","101","0.04","999","0"
"453","1","1","0.01","101","0.06","999","0"
"455","1","1","0.01","101","0.1","999","0"
"456","1","1","0.01","111","0.02","999","0"
"454","1","1","0.01","101","0.08","999","0"
"457","1","1","0.01","111","0.04","999","0"
"458","1","1","0.01","111","0.06","999","0"
"459","1","1","0.01","111","0.08","999","0"
"460","1","1","0.01","111","0.1","999","0"
"461","1","1","0.01","121","0.02","999","0"
"463","1","1","0.01","121","0.06","999","0"
"462","1","1","0.01","121","0.04","999","0"
"465","1","1","0.01","121","0.1","999","0"
"466","1","1","0.01","131","0.02","999","0"
"464","1","1","0.01","121","0.08","999","0"
"467","1","1","0.01","131","0.04","999","0"
"468","1","1","0.01","131","0.06","999","0"
"469","1","1","0.01","131","0.08","999","0"
"470","1","1","0.01","131","0.1","999","0"
"471","1","1","0.01","141","0.02","999","0"
"472","1","1","0.01","141","0.04","999","0"
"473","1","1","0.01","141","0.06","999","0"
"474","1","1","0.01","141","0.08","999","0"
"475","1","1","0.01","141","0.1","999","0"
"476","1","1","0.01","151","0.02","999","0"
"477","1","1","0.01","151","0.04","999","0"
"478","1","1","0.01","151","0.06","999","0"
"479","1","1","0.01","151","0.08","999","0"
"480","1","1","0.01","151","0.1","999","0"
"481","1","1","0.01","161","0.02","999","0"
"483","1","1","0.01","161","0.06","999","0"
"484","1","1","0.01","161","0.08","999","0"
"482","1","1","0.01","161","0.04","999","0"
"485","1","1","0.01","161","0.1","999","0"
"486","1","1","0.01","171","0.02","999","0"
"487","1","1","0.01","171","0.04","999","0"
"488","1","1","0.01","171","0.06","999","0"
"489","1","1","0.01","171","0.08","999","0"
"490","1","1","0.01","171","0.1","999","0"
"491","1","1","0.01","181","0.02","999","0"
"493","1","1","0.01","181","0.06","999","0"
"494","1","1","0.01","181","0.08","999","0"
"495","1","1","0.01","181","0.1","999","0"
"496","1","1","0.01","191","0.02","999","0"
"497","1","1","0.01","191","0.04","999","0"
"501","1","21","0.002","1","0.02","999","0"
"492","1","1","0.01","181","0.04","999","0"
"502","1","21","0.002","1","0.04","999","0"
"498","1","1","0.01","191","0.06","999","0"
"499","1","1","0.01","191","0.08","999","0"
"503","1","21","0.002","1","0.06","999","0"
"504","1","21","0.002","1","0.08","999","0"
"505","1","21","0.002","1","0.1","999","0"
"500","1","1","0.01","191","0.1","999","0"
"506","1","21","0.002","11","0.02","999","0"
"508","1","21","0.002","11","0.06","999","0"
"507","1","21","0.002","11","0.04","999","0.16600000000000031"
"509","1","21","0.002","11","0.08","999","0"
"510","1","21","0.002","11","0.1","999","0.1"
"511","1","21","0.002","21","0.02","999","0"
"512","1","21","0.002","21","0.04","999","0"
"513","1","21","0.002","21","0.06","999","0.018000000000000002"
"515","1","21","0.002","21","0.1","999","0.12800000000000003"
"514","1","21","0.002","21","0.08","999","0"
"516","1","21","0.002","31","0.02","999","0"
"517","1","21","0.002","31","0.04","999","0"
"518","1","21","0.002","31","0.06","999","0"
"519","1","21","0.002","31","0.08","999","0"
"520","1","21","0.002","31","0.1","999","0"
"521","1","21","0.002","41","0.02","999","0"
"522","1","21","0.002","41","0.04","999","0"
"524","1","21","0.002","41","0.08","999","0"
"523","1","21","0.002","41","0.06","999","0.06"
"526","1","21","0.002","51","0.02","999","0"
"525","1","21","0.002","41","0.1","999","0.006"
"527","1","21","0.002","51","0.04","999","0"
"528","1","21","0.002","51","0.06","999","0"
"529","1","21","0.002","51","0.08","999","0.08"
"530","1","21","0.002","51","0.1","999","0"
"531","1","21","0.002","61","0.02","999","0"
"533","1","21","0.002","61","0.06","999","0.06"
"534","1","21","0.002","61","0.08","999","0.08"
"532","1","21","0.002","61","0.04","999","0"
"535","1","21","0.002","61","0.1","999","0.1"
"536","1","21","0.002","71","0.02","999","0"
"537","1","21","0.002","71","0.04","999","0"
"539","1","21","0.002","71","0.08","999","0"
"538","1","21","0.002","71","0.06","999","0"
"541","1","21","0.002","81","0.02","999","0"
"540","1","21","0.002","71","0.1","999","0"
"543","1","21","0.002","81","0.06","999","0.06"
"545","1","21","0.002","81","0.1","999","0"
"544","1","21","0.002","81","0.08","999","0"
"542","1","21","0.002","81","0.04","999","0"
"546","1","21","0.002","91","0.02","999","0"
"547","1","21","0.002","91","0.04","999","0"
"550","1","21","0.002","91","0.1","999","0"
"548","1","21","0.002","91","0.06","999","0"
"549","1","21","0.002","91","0.08","999","0"
"551","1","21","0.002","101","0.02","999","0"
"552","1","21","0.002","101","0.04","999","0"
"554","1","21","0.002","101","0.08","999","0"
"556","1","21","0.002","111","0.02","999","0"
"555","1","21","0.002","101","0.1","999","0"
"553","1","21","0.002","101","0.06","999","0"
"557","1","21","0.002","111","0.04","999","0.04"
"558","1","21","0.002","111","0.06","999","0"
"559","1","21","0.002","111","0.08","999","0.014"
"560","1","21","0.002","111","0.1","999","0.01200000000000001"
"561","1","21","0.002","121","0.02","999","0"
"562","1","21","0.002","121","0.04","999","0"
"563","1","21","0.002","121","0.06","999","0"
"565","1","21","0.002","121","0.1","999","0"
"566","1","21","0.002","131","0.02","999","0"
"567","1","21","0.002","131","0.04","999","0"
"564","1","21","0.002","121","0.08","999","0"
"568","1","21","0.002","131","0.06","999","0.030000000000000013"
"569","1","21","0.002","131","0.08","999","0"
"570","1","21","0.002","131","0.1","999","0"
"571","1","21","0.002","141","0.02","999","0"
"572","1","21","0.002","141","0.04","999","0.04"
"573","1","21","0.002","141","0.06","999","0"
"574","1","21","0.002","141","0.08","999","0"
"576","1","21","0.002","151","0.02","999","0"
"577","1","21","0.002","151","0.04","999","0"
"575","1","21","0.002","141","0.1","999","0.030000000000000013"
"578","1","21","0.002","151","0.06","999","0"
"579","1","21","0.002","151","0.08","999","0"
"580","1","21","0.002","151","0.1","999","0"
"581","1","21","0.002","161","0.02","999","0"
"582","1","21","0.002","161","0.04","999","0"
"583","1","21","0.002","161","0.06","999","0"
"584","1","21","0.002","161","0.08","999","0"
"586","1","21","0.002","171","0.02","999","0"
"587","1","21","0.002","171","0.04","999","0"
"585","1","21","0.002","161","0.1","999","0"
"588","1","21","0.002","171","0.06","999","0"
"589","1","21","0.002","171","0.08","999","0"
"590","1","21","0.002","171","0.1","999","0.10600000000000001"
"591","1","21","0.002","181","0.02","999","0"
"592","1","21","0.002","181","0.04","999","0"
"593","1","21","0.002","181","0.06","999","0"
